mm_id,tag_id,mm_kind,pole,x,y
817,0,1,2,16748.9,95974.55
818,0,1,2,16749.297,95973.633
819,0,1,2,16749.695,95972.715
820,0,1,2,16750.093,95971.798
821,0,1,2,16750.491,95970.881
822,0,1,2,16750.889,95969.964
823,0,1,2,16751.287,95969.047
824,0,1,2,16751.684,95968.129
825,0,1,2,16752.082,95967.212
826,0,1,2,16752.48,95966.295
827,0,1,2,16752.878,95965.378
828,0,1,2,16753.276,95964.46
829,0,1,2,16753.673,95963.543
830,0,1,2,16754.071,95962.626
831,0,1,2,16754.469,95961.709
832,0,1,2,16754.867,95960.792
833,0,1,2,16755.265,95959.874
834,0,1,2,16755.663,95958.957
835,0,1,2,16756.06,95958.04
836,0,1,2,16756.458,95957.123
837,0,1,2,16756.856,95956.205
838,0,1,2,16757.254,95955.288
839,0,1,2,16757.652,95954.371
840,0,1,2,16758.049,95953.454
841,0,1,2,16758.447,95952.536
842,0,1,2,16758.845,95951.619
843,0,1,2,16759.243,95950.702
844,0,1,2,16759.641,95949.785
845,0,1,2,16760.038,95948.868
846,0,1,2,16760.436,95947.95
847,0,1,2,16760.834,95947.033
848,0,1,2,16761.232,95946.116
849,0,1,2,16761.63,95945.199
850,0,1,2,16762.028,95944.281
851,0,1,2,16762.425,95943.364
852,0,1,2,16762.823,95942.447
853,0,1,2,16763.221,95941.53
854,0,1,2,16763.619,95940.613
855,0,1,2,16764.017,95939.695
856,0,1,2,16764.415,95938.778
857,0,1,2,16764.812,95937.861
858,0,1,2,16765.21,95936.944
859,0,1,2,16765.608,95936.027
860,0,1,2,16766.006,95935.109
861,0,1,2,16766.404,95934.192
862,0,1,2,16766.801,95933.275
863,0,1,2,16767.199,95932.358
864,0,1,2,16767.597,95931.44
865,0,1,2,16767.995,95930.523
866,0,1,2,16768.393,95929.606
867,0,1,2,16768.79,95928.689
868,0,1,2,16769.188,95927.771
869,0,1,2,16769.586,95926.854
870,0,1,2,16769.984,95925.937
871,0,1,2,16770.382,95925.02
872,0,1,2,16770.78,95924.102
873,0,1,2,16771.177,95923.185
874,0,1,2,16771.575,95922.268
875,0,1,2,16771.973,95921.351
876,0,1,2,16772.371,95920.434
877,0,1,2,16772.769,95919.516
878,0,1,2,16773.166,95918.599
879,0,1,2,16773.564,95917.682
880,0,1,2,16773.962,95916.765
881,0,1,2,16774.36,95915.848
882,0,1,2,16774.758,95914.93
883,0,1,2,16775.156,95914.013
884,0,1,2,16775.553,95913.096
885,0,1,2,16775.951,95912.179
886,0,1,2,16776.349,95911.261
887,0,1,2,16776.747,95910.344
888,0,1,2,16777.145,95909.427
889,0,1,2,16777.542,95908.51
890,0,1,2,16777.94,95907.593
891,0,1,2,16778.338,95906.675
892,0,1,2,16778.736,95905.758
893,0,1,2,16779.134,95904.841
894,0,1,2,16779.532,95903.924
895,0,1,2,16779.929,95903.006
896,0,1,2,16780.328,95902.089
897,0,1,2,16780.727,95901.173
898,0,1,2,16781.126,95900.256
899,0,1,2,16781.525,95899.339
900,0,1,2,16781.924,95898.423
901,0,1,2,16782.325,95897.507
902,0,1,2,16782.732,95896.594
903,0,1,2,16783.138,95895.68
904,0,1,2,16783.545,95894.767
905,0,1,2,16783.952,95893.854
906,0,1,2,16784.36,95892.941
907,0,1,2,16784.782,95892.034
908,0,1,2,16785.203,95891.128
909,0,1,2,16785.625,95890.221
910,0,1,2,16786.046,95889.315
911,0,1,2,16786.468,95888.408
912,0,1,2,16786.911,95887.512
913,0,1,2,16787.354,95886.616
914,0,1,2,16787.798,95885.72
915,0,1,2,16788.242,95884.824
916,0,1,2,16788.685,95883.928
917,0,1,2,16789.153,95883.044
918,0,1,2,16789.626,95882.164
919,0,1,2,16790.098,95881.283
920,0,1,2,16790.571,95880.402
921,0,1,2,16791.044,95879.521
922,0,1,2,16791.541,95878.653
923,0,1,2,16792.049,95877.792
924,0,1,2,16792.557,95876.931
925,0,1,2,16793.066,95876.07
926,0,1,2,16793.574,95875.21
927,0,1,2,16794.104,95874.362
928,0,1,2,16794.654,95873.527
929,0,1,2,16795.204,95872.692
930,0,1,2,16795.754,95871.857
931,0,1,2,16796.304,95871.022
932,0,1,2,16796.865,95870.196
933,0,1,2,16797.448,95869.383
934,0,1,2,16798.035,95868.574
935,0,1,2,16798.639,95867.777
936,0,1,2,16799.242,95866.98
937,0,1,2,16799.859,95866.193
938,0,1,2,16800.486,95865.414
939,0,1,2,16801.113,95864.636
940,0,1,2,16801.761,95863.874
941,0,1,2,16802.411,95863.114
942,0,1,2,16803.065,95862.359
943,0,1,2,16803.737,95861.619
944,0,1,2,16804.41,95860.879
945,0,1,2,16805.098,95860.154
946,0,1,2,16805.801,95859.443
947,0,1,2,16806.504,95858.732
948,0,1,2,16807.207,95858.021
949,0,1,2,16807.91,95857.31
950,0,1,2,16808.625,95856.612
951,0,1,2,16809.362,95855.937
