mm_id,tag_id,mm_kind,pole,x,y
349,0,1,2,16716.8,96089.642
350,0,1,2,16717.169,96087.676
351,0,1,2,16717.537,96085.711
352,0,1,2,16717.906,96083.746
353,0,1,2,16718.275,96081.78
354,0,1,2,16718.643,96079.815
355,0,1,2,16719.012,96077.85
356,0,1,2,16719.38,96075.885
357,0,1,2,16719.749,96073.919
358,0,1,2,16720.118,96071.954
359,0,1,2,16720.486,96069.989
360,0,1,2,16720.855,96068.023
361,0,1,2,16721.223,96066.058
362,0,1,2,16721.592,96064.093
363,0,1,2,16721.961,96062.128
364,0,1,2,16722.329,96060.162
365,0,1,2,16722.698,96058.197
366,0,1,2,16723.066,96056.232
367,0,1,2,16723.435,96054.266
368,0,1,2,16723.806,96052.302
369,0,1,2,16724.176,96050.337
370,0,1,2,16724.549,96048.372
371,0,1,2,16724.93,96046.409
372,0,1,2,16725.311,96044.446
373,0,1,2,16725.698,96042.484
374,0,1,2,16726.101,96040.526
375,0,1,2,16726.503,96038.567
376,0,1,2,16726.916,96036.611
377,0,1,2,16727.351,96034.659
378,0,1,2,16727.785,96032.707
379,0,1,2,16728.235,96030.759
380,0,1,2,16728.712,96028.817
381,0,1,2,16729.19,96026.876
382,0,1,2,16729.687,96024.939
383,0,1,2,16730.218,96023.011
384,0,1,2,16730.749,96021.083
385,0,1,2,16731.294,96019.16
386,0,1,2,16731.883,96017.249
387,0,1,2,16732.476,96015.339
388,0,1,2,16733.116,96013.445
389,0,1,2,16733.756,96011.551
390,0,1,2,16734.401,96009.658
391,0,1,2,16735.093,96007.782
392,0,1,2,16735.785,96005.906
393,0,1,2,16736.482,96004.032
394,0,1,2,16737.215,96002.172
395,0,1,2,16737.948,96000.311
396,0,1,2,16738.686,95998.453
397,0,1,2,16739.45,95996.605
398,0,1,2,16740.213,95994.757
399,0,1,2,16740.981,95992.911
400,0,1,2,16741.765,95991.071
401,0,1,2,16742.549,95989.232
402,0,1,2,16743.335,95987.393
403,0,1,2,16744.129,95985.558
404,0,1,2,16744.923,95983.723
405,0,1,2,16745.717,95981.888
406,0,1,2,16746.513,95980.053
407,0,1,2,16747.308,95978.219
408,0,1,2,16748.104,95976.384
409,0,1,2,16748.9,95974.55
410,0,1,2,16749.695,95972.715
411,0,1,2,16750.491,95970.881
412,0,1,2,16751.287,95969.047
413,0,1,2,16752.082,95967.212
414,0,1,2,16752.878,95965.378
415,0,1,2,16753.673,95963.543
416,0,1,2,16754.469,95961.709
417,0,1,2,16755.265,95959.874
418,0,1,2,16756.06,95958.04
419,0,1,2,16756.856,95956.205
420,0,1,2,16757.652,95954.371
421,0,1,2,16758.447,95952.536
422,0,1,2,16759.243,95950.702
423,0,1,2,16760.038,95948.868
424,0,1,2,16760.834,95947.033
425,0,1,2,16761.63,95945.199
426,0,1,2,16762.425,95943.364
427,0,1,2,16763.221,95941.53
428,0,1,2,16764.017,95939.695
429,0,1,2,16764.812,95937.861
430,0,1,2,16765.608,95936.027
431,0,1,2,16766.404,95934.192
432,0,1,2,16767.199,95932.358
433,0,1,2,16767.995,95930.523
434,0,1,2,16768.79,95928.689
435,0,1,2,16769.586,95926.854
436,0,1,2,16770.382,95925.02
437,0,1,2,16771.177,95923.185
438,0,1,2,16771.973,95921.351
439,0,1,2,16772.769,95919.516
440,0,1,2,16773.564,95917.682
441,0,1,2,16774.36,95915.848
442,0,1,2,16775.156,95914.013
443,0,1,2,16775.951,95912.179
444,0,1,2,16776.747,95910.344
445,0,1,2,16777.542,95908.51
446,0,1,2,16778.338,95906.675
447,0,1,2,16779.134,95904.841
448,0,1,2,16779.929,95903.006
449,0,1,2,16780.727,95901.173
450,0,1,2,16781.525,95899.339
451,0,1,2,16782.325,95897.507
452,0,1,2,16783.138,95895.68
453,0,1,2,16783.952,95893.854
454,0,1,2,16784.782,95892.034
455,0,1,2,16785.625,95890.221
456,0,1,2,16786.468,95888.408
457,0,1,2,16787.354,95886.616
458,0,1,2,16788.242,95884.824
459,0,1,2,16789.153,95883.044
460,0,1,2,16790.098,95881.283
461,0,1,2,16791.044,95879.521
462,0,1,2,16792.049,95877.792
463,0,1,2,16793.066,95876.07
464,0,1,2,16794.104,95874.362
465,0,1,2,16795.204,95872.692
466,0,1,2,16796.304,95871.022
467,0,1,2,16797.448,95869.383
468,0,1,2,16798.639,95867.777
469,0,1,2,16799.859,95866.193
470,0,1,2,16801.113,95864.636
471,0,1,2,16802.411,95863.114
472,0,1,2,16803.737,95861.619
473,0,1,2,16805.098,95860.154
474,0,1,2,16806.504,95858.732
475,0,1,2,16807.91,95857.31
476,0,1,2,16809.362,95855.937
477,0,1,2,16810.836,95854.586
478,0,1,2,16812.316,95853.241
479,0,1,2,16813.844,95851.951
480,0,1,2,16815.372,95850.662
481,0,1,2,16816.922,95849.399
482,0,1,2,16818.491,95848.16
483,0,1,2,16820.061,95846.921
484,0,1,2,16821.659,95845.719
485,0,1,2,16823.258,95844.519
486,0,1,2,16824.865,95843.329
487,0,1,2,16826.484,95842.155
488,0,1,2,16828.103,95840.982
489,0,1,2,16829.729,95839.818
490,0,1,2,16831.358,95838.658
491,0,1,2,16832.987,95837.498
492,0,1,2,16834.617,95836.34
493,0,1,2,16836.247,95835.182
494,0,1,2,16837.877,95834.024
495,0,1,2,16839.507,95832.866
496,0,1,2,16841.137,95831.708
497,0,1,2,16842.768,95830.551
498,0,1,2,16844.4,95829.395
499,0,1,2,16846.031,95828.239
500,0,1,2,16847.67,95827.094
501,0,1,2,16849.311,95825.952
502,0,1,2,16850.956,95824.814
503,0,1,2,16852.616,95823.699
504,0,1,2,16854.275,95822.584
505,0,1,2,16855.951,95821.494
506,0,1,2,16857.638,95820.419
507,0,1,2,16859.325,95819.347
508,0,1,2,16861.046,95818.329
509,0,1,2,16862.767,95817.31
510,0,1,2,16864.506,95816.324
511,0,1,2,16866.267,95815.377
512,0,1,2,16868.028,95814.43
513,0,1,2,16869.828,95813.56
514,0,1,2,16871.633,95812.7
515,0,1,2,16873.447,95811.859
516,0,1,2,16875.292,95811.089
517,0,1,2,16877.151,95810.351
518,0,1,2,16879.023,95809.65
519,0,1,2,16880.915,95809.003
520,0,1,2,16882.82,95808.395
521,0,1,2,16884.736,95807.824
522,0,1,2,16886.663,95807.292
523,0,1,2,16888.606,95806.816
524,0,1,2,16890.557,95806.379
525,0,1,2,16892.516,95805.981
526,0,1,2,16894.483,95805.622
527,0,1,2,16896.46,95805.321
528,0,1,2,16898.442,95805.059
529,0,1,2,16900.429,95804.835
530,0,1,2,16902.42,95804.654
531,0,1,2,16904.416,95804.529
532,0,1,2,16906.413,95804.443
533,0,1,2,16908.412,95804.403
534,0,1,2,16910.411,95804.425
535,0,1,2,16912.411,95804.447
536,0,1,2,16914.408,95804.537
537,0,1,2,16916.404,95804.657
538,0,1,2,16918.399,95804.786
539,0,1,2,16920.388,95804.988
540,0,1,2,16922.378,95805.189
541,0,1,2,16924.363,95805.426
542,0,1,2,16926.345,95805.692
543,0,1,2,16928.326,95805.959
544,0,1,2,16930.301,95806.272
545,0,1,2,16932.276,95806.587
546,0,1,2,16934.248,95806.914
547,0,1,2,16936.217,95807.262
548,0,1,2,16938.187,95807.61
549,0,1,2,16940.153,95807.97
550,0,1,2,16942.12,95808.334
551,0,1,2,16944.086,95808.698
552,0,1,2,16946.051,95809.064
553,0,1,2,16948.017,95809.431
554,0,1,2,16949.982,95809.799
555,0,1,2,16951.947,95810.169
556,0,1,2,16953.912,95810.541
557,0,1,2,16955.876,95810.916
558,0,1,2,16957.839,95811.297
559,0,1,2,16959.802,95811.679
560,0,1,2,16961.762,95812.072
561,0,1,2,16963.722,95812.468
562,0,1,2,16965.681,95812.869
563,0,1,2,16967.637,95813.286
564,0,1,2,16969.593,95813.703
565,0,1,2,16971.546,95814.128
566,0,1,2,16973.497,95814.568
567,0,1,2,16975.447,95815.008
568,0,1,2,16977.397,95815.453
569,0,1,2,16979.342,95815.915
570,0,1,2,16981.288,95816.376
571,0,1,2,16983.231,95816.848
572,0,1,2,16985.173,95817.324
573,0,1,2,16987.115,95817.802
574,0,1,2,16989.054,95818.287
575,0,1,2,16990.994,95818.773
576,0,1,2,16992.933,95819.262
577,0,1,2,16994.871,95819.753
578,0,1,2,16996.81,95820.243
579,0,1,2,16998.748,95820.735
580,0,1,2,17000.686,95821.226
581,0,1,2,17002.624,95821.717
582,0,1,2,17004.563,95822.209
583,0,1,2,17006.501,95822.7
584,0,1,2,17008.439,95823.19
585,0,1,2,17010.378,95823.681
586,0,1,2,17012.317,95824.168
587,0,1,2,17014.257,95824.653
588,0,1,2,17016.197,95825.137
589,0,1,2,17018.139,95825.613
590,0,1,2,17020.081,95826.089
591,0,1,2,17022.026,95826.554
592,0,1,2,17023.972,95827.016
593,0,1,2,17025.918,95827.473
594,0,1,2,17027.868,95827.914
595,0,1,2,17029.819,95828.355
596,0,1,2,17031.771,95828.788
597,0,1,2,17033.726,95829.206
598,0,1,2,17035.682,95829.624
599,0,1,2,17037.638,95830.037
600,0,1,2,17039.598,95830.433
